Designator,Footprint,Quantity,Value,LCSC Part #
3V3,TestPoint_Keystone_5010-5014_Multipurpose,1,TestPoint,
"BOOT1, RESET1",SW_PUSH_6mm,2,SW_Push,
C1,0402,1,100nf,
"C11, C5",0603,2,10u,
C12,1206,1,22u,
C13,0402,1,100n,
C2,0603,1,47nF,
"C3, C6",0603,2,1uF,
C4,0402,1,0.1uF,
C7,0805,1,10uF,
D1,0603,1,RED,
"D2, D3",0603,2,GREEN,
"EXTRA, J10, J8",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,
GND,TestPoint_Keystone_5010-5014_Multipurpose,1,GND,
"J1, J2",USB-C_SMD-TYPE-C-31-M-12_1,2,USB_C_Receptacle_USB2.0_16P,
J11,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"J12, J4, J5",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,3,Screw_Terminal_01x02,
"J3, J6",PinHeader_1x15_P2.54mm_Vertical,2,Conn_01x15_Pin,
M+,TestPoint_Keystone_5010-5014_Multipurpose,1,M+,
R1,0402,1,27K,
"R3, R6",0402,2,10k,
"R4, R5",0402,2,1.2K,
R7,0603,1,24K,
T2,TestPoint_Keystone_5010-5014_Multipurpose,1,VHV,
U1,XCVR_ESP32-S3-WROOM-1-N8,1,ESP32-S3-WROOM-1-N8,
U2,LD11,1,LD1117S33TR,
U3,ch224a,1,~,
U4,MP8040,1,MP8040,
