Designator,Mid X,Mid Y,Rotation,Layer
3V3,39.3446,-134.9248,270.0,top
BOOT1,78.75,-116.75,0.0,top
C1,44.85,-97.2,90.0,top
C11,54.8,-94.35,270.0,top
C12,57.0,-94.95,270.0,top
C13,58.95,-94.1,270.0,top
C2,46.805,-118.8,180.0,top
C3,50.5,-120.4585,270.0,top
C4,49.625668,-105.773169,180.0,top
C5,61.35,-94.75,180.0,top
C6,50.425,-123.725,90.0,top
C7,49.26519,-107.8,180.0,top
D1,62.5,-99.5,180.0,top
D2,62.392965,-104.176789,180.0,top
D3,79.0,-122.0,0.0,top
EXTRA,55.2958,-114.1476,0.0,top
GND,58.2422,-140.589,0.0,top
J1,68.825,-138.5815,0.0,top
J10,49.39,-101.4,90.0,top
J11,89.0982,-94.3356,90.0,top
J12,39.0,-122.5,270.0,top
J2,49.75,-138.5555,0.0,top
J3,87.2744,-124.2264,180.0,top
J4,39.0325,-97.95,270.0,top
J5,38.985,-110.2085,270.0,top
J6,91.186,-124.1044,0.0,top
J8,71.5264,-129.6924,90.0,top
M+,39.3446,-130.3528,270.0,top
R1,50.735,-118.5085,180.0,top
R3,60.0,-99.5,0.0,top
R4,59.71587,-104.158119,0.0,top
R5,81.692876,-121.961112,180.0,top
R6,63.5,-94.15,270.0,top
R7,50.949461,-131.590189,0.0,top
RESET1,69.095498,-116.754235,0.0,top
T2,39.3192,-139.4206,0.0,top
U1,74.0,-97.5,0.0,top
U2,49.7,-95.67425,0.0,top
U3,50.381912,-128.035472,270.0,top
U4,49.485,-114.2085,180.0,top
